OrgGroupCodeDesc,ContractNumber1,CentralNameLname1,CentralNameFname,ContractTitle1,CurrentContractStartDate,CurrentContractEndDate,CurrentContractAmount
"3110-Jail Sheriff,Corrections",C12-00156,Central Name,Central Name 2,Justice Benefits - Optimize Federal Fin Participation SCAAP,2012-07-01 00:00:00,2023-06-30 00:00:00,175000.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C12-00216,Central Name,Central Name 2,Gorman Bros - Reclamation Various County Roads CHIPS ,2012-07-03 00:00:00,2015-12-31 00:00:00,1200000.1450
"1490-DPW Adm DPW,DPW Administration",C12-00143,Central Name,Central Name 2,REVENUE: Cornell - Reconstr McKellup Bridge #101,2012-08-01 00:00:00,2013-07-31 00:00:00,29300.0000
"5630-ARP UCAT,ARP",C12-00139,Central Name,Central Name 2,REVENUE: HealthAlliance Broadway - Care-A-Van Service,2012-08-01 00:00:00,2014-03-31 00:00:00,0.0000
"1430-Contracts Personnel,Contract Management",C12-00152,Central Name,Central Name 2,Wallens - Legal Services Labor Rel & Contract Negotiation,2012-08-01 00:00:00,2015-12-31 00:00:00,866600.1465
"1420-Central Svc County Attorney,Central Services",C12-00150,Central Name,Central Name 2,Keane & Beane - Legal Services,2012-08-01 00:00:00,2015-08-31 00:00:00,21119.0765
"3020-Insurance Emergency Management / E911,Insurance",C12-00172A,Central Name,Central Name 2,Enviroclean - Environmental Assess Asbestos- Flood Remediation,2012-09-01 00:00:00,2013-12-31 00:00:00,20000.2653
"3020-Insurance Emergency Management / E911,Insurance",C12-00184,Central Name,Central Name 2,REVENUE: NYS DHSES - FY2012 Terrorism Preparedness Grant,2012-09-01 00:00:00,2015-08-31 00:00:00,195000.0000
"5630-ARP UCAT,ARP",C12-00205,Central Name,Central Name 2,Bus Shelter In Kind Maintenance Agreement - SUNY New Paltz,2012-09-10 00:00:00,2027-09-09 00:00:00,0.0100
"3020-Insurance Emergency Management / E911,Insurance",C12-00310,Central Name,Central Name 2,REVENUE: NYS Emergency Management - Hazard Mitigation Plan,2012-09-19 00:00:00,2017-10-31 00:00:00,150000.0000
"6010-DSS Services DSS,DSS Services",C13-00025,Central Name,Central Name 2,REVENUE: NYU School of Medicine - ATLAS Project,2012-09-30 00:00:00,2015-09-29 00:00:00,107837.0000
"3140-STOP DWI Probation,STOP DWI",C13-00034,Central Name,Central Name 2,REVENUE: NYS DCJS - GTSC Ignition Interlock Monitoring Program,2012-10-01 00:00:00,2015-09-30 00:00:00,110430.0000
"1680-OBS Information Services,Office of Business Services",C12-00163,Central Name,Central Name 2,"Next Step - Website Design, Development & Support ",2012-10-01 00:00:00,2018-07-31 00:00:00,182665.0070
"3020-Insurance Emergency Management / E911,Insurance",C12-00193,Central Name,Central Name 2,Taylor Recycling - Demolition Flooded Properties,2012-10-01 00:00:00,2016-06-30 00:00:00,765281.7250
"4310-Health Adm Mental Health,Health Administration",C12-00309,Central Name,Central Name 2,Bonadio - Corporate Compliance Consulting,2012-10-01 00:00:00,2016-12-31 00:00:00,15000.0000
"6290-DSS Services Office of Employment & Training,DSS Services",C12-00163-2,Central Name,Central Name 2,"Next Step - Website Design, Development & Support - OET",2012-10-01 00:00:00,2018-07-31 00:00:00,19250.0000
"6410-DSS Services Tourism,DSS Services",C12-00114,Central Name,Central Name 2,Ricoh - Lease Copier Tourism (Ricoh MPC2551),2012-10-01 00:00:00,2017-09-30 00:00:00,6420.0000
"3020-Insurance Emergency Management / E911,Insurance",C12-00251,Central Name,Central Name 2,Electronic Service - Microwave Radio Sys Repair & Maintenance  ,2012-10-01 00:00:00,2017-09-30 00:00:00,42830.1600
"6010-DSS Admin DSS,DSS Administration",C12-00146,Central Name,Central Name 2,NYS OCFS - Video Teleconferencing Equipment Loan,2012-10-09 00:00:00,2017-08-14 00:00:00,0.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C12-00217,Central Name,Central Name 2,"Plow, salt & sand County roads",2012-11-01 00:00:00,2014-10-31 00:00:00,33260.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C12-00218,Central Name,Central Name 2,"Plow, salt & sand County roads",2012-11-01 00:00:00,2014-10-31 00:00:00,14925.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C12-00217A,Central Name,Central Name 2,"Shandaken - Snow Plowing, Salt & Sand ",2012-11-01 00:00:00,2014-10-31 00:00:00,33260.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C12-00218A,Central Name,Central Name 2,"Woodstock - Snow Plowing, Salt & Sand ",2012-11-01 00:00:00,2014-10-31 00:00:00,14925.0000
"5630-ARP UCAT,ARP",C12-00236,Central Name,Central Name 2,REVENUE: Student Assoc SUNY - Transport To/Fr Pok Train Station,2012-11-01 00:00:00,2014-10-31 00:00:00,0.0000
"3140-Jail Probation,Corrections",C12-00240,Central Name,Central Name 2,Pine Professional - Lease Office Space New Paltz Probation ,2012-11-01 00:00:00,2015-10-31 00:00:00,59400.0000
"1420-Central Svc County Attorney,Central Services",C12-00293,Central Name,Central Name 2,Iseman - Legal Services Compliance Matters,2012-11-01 00:00:00,2014-12-31 00:00:00,30000.0601
"3140-Jail Probation,Corrections",C12-00211,Central Name,Central Name 2,IPPC - Internet Monitoring & Control Systems Services,2012-11-01 00:00:00,2014-10-31 00:00:00,1797.0000
"3020-Insurance Emergency Management / E911,Insurance",C13-00046,Central Name,Central Name 2,NYCOMCO - Maintenance & Support Radio Equip Special Ops 911 ,2012-11-01 00:00:00,2018-10-31 00:00:00,41760.0000
"1680-OBS Information Services,Office of Business Services",C12-00219,Central Name,Central Name 2,Ricoh - Lease Copier Sheriff Civil Div (Ricoh MP 4002SP) ,2012-11-01 00:00:00,2016-10-30 00:00:00,9056.1600
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B12-76A,Central Name,Central Name 2,Law Enforcement Uniforms,2012-12-01 00:00:00,2014-11-30 00:00:00,6643.0705
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B12-76B,Central Name,Central Name 2,Law Enforcement Uniforms,2012-12-01 00:00:00,2014-11-30 00:00:00,0.1115
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B12-76C,Central Name,Central Name 2,Law Enforcement Uniforms,2012-12-01 00:00:00,2014-11-30 00:00:00,2892.1423
"1165-ARP District Attorney,ARP",C12-00002,Central Name,Central Name 2,LexisNexis - Subscription Legal Research - DA ,2012-12-01 00:00:00,2018-12-31 00:00:00,10605.7200
"3020-Insurance Emergency Management / E911,Insurance",C12-00250,Central Name,Central Name 2,Electronic Service - Maintenance Digital Logging Recorder,2012-12-01 00:00:00,2018-11-30 00:00:00,10998.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C12-00228,Central Name,Central Name 2,Johnson Controls - Maintenance & Repair Chiller UCOB & UCLEC,2012-12-01 00:00:00,2016-11-30 00:00:00,99262.0577
"1680-OBS Information Services,Office of Business Services",C12-00296,Central Name,Central Name 2,Iron Mountain Records Storage - IT Media File Vaulting ,2012-12-01 00:00:00,2019-12-31 00:00:00,108651.0747
"3020-Insurance Emergency Management / E911,Insurance",C12-00318,Central Name,Central Name 2,REVENUE: Conterra - Sam's Point Tower Communication Equipment,2012-12-01 00:00:00,2017-11-30 00:00:00,45497.0400
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00029,Central Name,Central Name 2,REVENUE: Astor Services - Lease of Office Space at T R Farber,2012-12-05 00:00:00,2015-12-14 00:00:00,17640.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00009,Central Name,Central Name 2,Gateway - Lease Office Space for Mental Health 137 N Chestnut St,2012-12-15 00:00:00,2015-12-14 00:00:00,70531.2000
"8020-DSS Services Planning,DSS Services",C13-00024,Central Name,Central Name 2,Greenway Compact Blueprint Project,2012-12-15 00:00:00,2016-06-30 00:00:00,38175.0000
"1680-OBS Information Services,Office of Business Services",C13-00031,Central Name,Central Name 2,Ricoh - Lease Copier Sheriff Admin Div (Ricoh MP4002SP),2012-12-20 00:00:00,2016-12-19 00:00:00,9056.1600
"6010-DSS Admin DSS,DSS Administration",C11-00516,Central Name,Central Name 2,Family of Woodstock - Shelter Plus Care - 15 units for families,2012-12-31 00:00:00,2014-03-31 00:00:00,613026.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",Q12-115,Central Name,Central Name 2,Tee Shirts and Tanks,2013-01-01 00:00:00,2015-12-31 00:00:00,0.0000
"1310-RPTSA Finance,Real Property Tax Service Agency",C13-00016,Central Name,Central Name 2,Actuarial Svcs Related to Unpd Workers Comp Claim Liab,2013-01-01 00:00:00,2014-12-31 00:00:00,35000.0000
"4310-Health Adm Mental Health,Health Administration",C13-00316,Central Name,Central Name 2,CANCELLED Hudson Valley Mental Health - Mental Health Clinics,2013-01-01 00:00:00,2018-12-31 00:00:00,150000.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",Q12-114,Central Name,Central Name 2,Sweatshirts,2013-01-01 00:00:00,2015-12-31 00:00:00,0.0172
"1345-RPTSA Purchasing,Real Property Tax Service Agency",Q12-115A,Central Name,Central Name 2,Tee Shirts and Tanks,2013-01-01 00:00:00,2015-12-31 00:00:00,0.0369
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-48,Central Name,Central Name 2,Road & Bridge Materials-Retaining Wall Units (Precast Concrete) ,2013-01-01 00:00:00,2015-05-31 00:00:00,104733.6263
"1010-ARP Legislature,ARP",C13-00219,Central Name,Central Name 2,Bardavon - UPAC/Hudson Valley Philharmonic Public Benefit,2013-01-01 00:00:00,2013-12-31 00:00:00,18750.0000
"1310-RPTSA Finance,Real Property Tax Service Agency",C13-00016A,Central Name,Central Name 2,Actuarial Services - Workers Comp Claim Liability - Milliman,2013-01-01 00:00:00,2014-12-31 00:00:00,35000.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00045,Central Name,Central Name 2,Elevator & dumbwaiter maintenance at UCLEC - KONE Inc.,2013-01-01 00:00:00,2014-08-31 00:00:00,18000.0477
"3110-Crim Sheriff,Criminal",C13-00101,Central Name,Central Name 2,Ulster - Agreement for Use of Firearms Range,2013-01-01 00:00:00,2014-12-31 00:00:00,0.0000
"5630-ARP UCAT,ARP",C13-00037,Central Name,Central Name 2,Health Alliance WoRx - DOT Physicals & Drug & Alcohol Screening ,2013-01-01 00:00:00,2014-12-31 00:00:00,20000.0446
"6010-DSS Services DSS,DSS Services",C12-00176,Central Name,Central Name 2, Personal Care Services for Seniors - Any Time Home Care ,2013-01-01 00:00:00,2013-12-31 00:00:00,0.0648
"6010-DSS Services DSS,DSS Services",C12-00178,Central Name,Central Name 2,Home HealthCare& - Personal Care Svcs MMIS,2013-01-01 00:00:00,2014-12-31 00:00:00,0.0488
"6010-DSS Services DSS,DSS Services",C12-00179,Central Name,Central Name 2,Personal Care Services - Independent Home,2013-01-01 00:00:00,2013-12-31 00:00:00,0.0145
"6010-DSS Services DSS,DSS Services",C12-00181,Central Name,Central Name 2, Personal Care Services - Unlimited Care ,2013-01-01 00:00:00,2014-12-31 00:00:00,0.0620
"6010-DSS Services DSS,DSS Services",C12-00182,Central Name,Central Name 2, Personal Care Services - Willcare ,2013-01-01 00:00:00,2013-12-31 00:00:00,0.0383
"6772-DSS Services Office for the Aging,DSS Services",C13-00011,Central Name,Central Name 2,Resource Center (RCAL) - Case Management Home Delivery of Meals ,2013-01-01 00:00:00,2014-03-31 00:00:00,98252.0000
"1430-Contracts Personnel,Contract Management",C13-00003,Central Name,Central Name 2,Hurley - Pre-Employment Physicals & Drug Screens,2013-01-01 00:00:00,2015-12-31 00:00:00,6375.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00013,Central Name,Central Name 2,Gotham - Hydronic & Glycol Systems Test / Treat / Maintenance,2013-01-01 00:00:00,2015-12-31 00:00:00,38022.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00028,Central Name,Central Name 2,REVENUE: Astor Services - Lease Of Office Space at Golden Hill ,2013-01-01 00:00:00,2015-12-31 00:00:00,62400.0000
"4010-Env Health Health,Environmental Health Services",C13-00041,Central Name,Central Name 2,Kingston Animal Hospital - Rabies Test Prep & Euthanization ,2013-01-01 00:00:00,2015-12-31 00:00:00,24000.0368
"1420-Central Svc County Attorney,Central Services",C13-00180,Central Name,Central Name 2,Keane & Beane - Legal Services Ulster & Delaware Rail Lines,2013-01-01 00:00:00,2015-02-28 00:00:00,6063.0765
"6772-DSS Services Office for the Aging,DSS Services",C13-00014,Central Name,Central Name 2,Coordination & Delivery of Meals OFA Nutrition Prog - Prestige,2013-01-01 00:00:00,2015-05-31 00:00:00,3009039.0026
"1010-ARP Legislature,ARP",C13-00207,Central Name,Central Name 2,Ellenbogen - Legislative Session Webcasting,2013-01-01 00:00:00,2015-12-31 00:00:00,52500.0016
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B12-90B,Central Name,Central Name 2,WB - Office Furniture Specific Manufacturers - Catalog Bid,2013-01-01 00:00:00,2016-12-31 00:00:00,90848.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B12-90A,Central Name,Central Name 2,American Printing - Office Furniture & Supplies - Catalog Bid,2013-01-01 00:00:00,2016-12-31 00:00:00,292412.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C13-00008,Central Name,Central Name 2,HVEA - Engineering South Putt Corners PIN #8759.90 ,2013-01-01 00:00:00,2018-06-30 00:00:00,762276.4100
"3110-Sher Admin Sheriff,Sheriff Administration",2013-00000011,Central Name,Central Name 2,Aramark - Food Services for Jail,2013-01-01 00:00:00,2018-12-31 00:00:00,14.9900
"3110-Jail Sheriff,Corrections",C12-00320,Central Name,Central Name 2,Aramark - Food Services for Jail,2013-01-01 00:00:00,2018-12-31 00:00:00,2666727.0094
"5630-ARP UCAT,ARP",C13-00183,Central Name,Central Name 2,REVENUE: NYS DOT - Public Transit Service to Dutchess Co (LINK),2013-01-01 00:00:00,2018-12-31 00:00:00,1970000.0000
"1680-OBS Information Services,Office of Business Services",C12-00307,Central Name,Central Name 2,Toshiba - Lease Copier Probation Broadway (e-Studio 206L),2013-01-01 00:00:00,2016-12-31 00:00:00,5712.0001
"1680-OBS Information Services,Office of Business Services",C12-00308,Central Name,Central Name 2,Toshiba - Lease Copier Crime Victims Pearl (e-Studio 206L),2013-01-01 00:00:00,2016-12-31 00:00:00,5712.0001
"6510-DSS Services Veterans Services,DSS Services",C12-00306,Central Name,Central Name 2,Ricoh - Lease Copier Veterans (Ricoh MP2852SP & MPC300),2013-01-01 00:00:00,2016-12-31 00:00:00,12336.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C13-00008A,Central Name,Central Name 2,HVEA - Engineering South Putt Corners PIN #8759.90,2013-01-01 00:00:00,2019-03-31 00:00:00,800807.0300
"6010-DSS Services DSS,DSS Services",C12-00175,Central Name,Central Name 2,Always There - Personal Care Services & Nursing Assessments DSS,2013-01-01 00:00:00,2023-12-31 00:00:00,0.0275
"6010-DSS Services DSS,DSS Services",C12-00176A,Central Name,Central Name 2,Any Time - Personal Care Services,2013-01-01 00:00:00,2021-12-31 00:00:00,0.1800
"6010-DSS Services DSS,DSS Services",C12-00178A,Central Name,Central Name 2,Home HealthCare& - Personal Care Services,2013-01-01 00:00:00,2021-12-31 00:00:00,0.1400
"6010-DSS Services DSS,DSS Services",C12-00181A,Central Name,Central Name 2,Unlimited Care  - Personal Care Services,2013-01-01 00:00:00,2021-12-31 00:00:00,0.1400
"6010-DSS Services DSS,DSS Services",C12-00179A,Central Name,Central Name 2,Independent Home - Personal Care Services,2013-01-01 00:00:00,2021-12-31 00:00:00,0.0500
"6010-DSS Services DSS,DSS Services",C12-00182A,Central Name,Central Name 2,Willcare - Personal Care Services  ,2013-01-01 00:00:00,2021-12-31 00:00:00,0.1300
"1680-OBS Information Services,Office of Business Services",C12-00298,Central Name,Central Name 2,CPM - Repair & Maintenance Plotter - Real Property,2013-01-01 00:00:00,2017-12-31 00:00:00,14367.0929
"4010-Health Adm Health,Health Administration",C13-00004,Central Name,Central Name 2,Health Research - Laboratory Test for Lead Levels,2013-01-01 00:00:00,2017-12-31 00:00:00,15000.0268
"4010-Health Adm Health,Health Administration",C13-00072,Central Name,Central Name 2,Byrnes Message - 24/7 Answering Services ,2013-01-01 00:00:00,2017-12-31 00:00:00,24000.0145
"4010-Health Adm Health,Health Administration",C12-00212,Central Name,Central Name 2,Saugerties - Lease Space for WIC Program Clinics,2013-01-01 00:00:00,2019-12-04 00:00:00,18000.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00299,Central Name,Central Name 2,UC Ag Society - UC Fairgrounds License Agreement  ,2013-01-01 00:00:00,2020-12-31 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",C13-00049,Central Name,Central Name 2,MailFinance - Automatic Folder Inserter Lease,2013-01-01 00:00:00,2020-09-30 00:00:00,63897.3000
"8090-OBS Environment,Office of Business Services",C13-00176,Central Name,Central Name 2,New England - Green Infrastructure / Stormwater Improvements COB,2013-01-07 00:00:00,2014-06-30 00:00:00,31260.0000
"1420-Contracts County Attorney,Contract Management",2013-00000009,Central Name,Central Name 2,REVENUE: NYS DHSES - Flood Buyouts FEMA  Substantially Damaged,2013-01-09 00:00:00,2017-06-30 00:00:00,5947154.0000
"1680-OBS Information Services,Office of Business Services",C12-00229,Central Name,Central Name 2,ACS - Software Maintenance Co Clerk Perfect Vision Imaging,2013-01-29 00:00:00,2018-01-28 00:00:00,355800.0961
"1410-Central Svc County Clerk,Central Services",C11-00442,Central Name,Central Name 2,Xerox - Maintenance 3030 Map Copier,2013-02-01 00:00:00,2014-01-31 00:00:00,1776.0001
"6010-DSS Admin DSS,DSS Administration",C13-00036,Central Name,Central Name 2,REVENUE: NYS OCFS - Child Advocacy Center Program,2013-02-01 00:00:00,2018-01-31 00:00:00,948438.0000
"1410-Central Svc County Clerk,Central Services",C13-00005,Central Name,Central Name 2,Xerox - Maintenance Copier Co Clerk (Xerox 3030 Map Copier),2013-02-01 00:00:00,2014-01-31 00:00:00,1776.0014
"6010-DSS Admin DSS,DSS Administration",C13-00048,Central Name,Central Name 2,Fischer - Maintenance and Monitoring Security & Fire Alarm ,2013-02-01 00:00:00,2014-01-31 00:00:00,711.0000
"6010-DSS Services DSS,DSS Services",C13-00055,Central Name,Central Name 2,Telberg - FCAC Trauma Specialist,2013-02-01 00:00:00,2014-01-31 00:00:00,10750.0000
"1430-Contracts Personnel,Contract Management",C13-00051,Central Name,Central Name 2,Smith - Hearing Officer - Section 75 ,2013-02-01 00:00:00,2015-12-31 00:00:00,36000.1350
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00214,Central Name,Central Name 2,Swim Lessons - New Paltz Pool,2013-02-21 00:00:00,2016-02-20 00:00:00,1000.0002
"4010-Patient Serv Health,Patient Services",C13-00195,Central Name,Central Name 2,LabCorp - Laboratory Testing Medical,2013-02-28 00:00:00,2021-02-28 00:00:00,3.1048
"1310-RPTSA Finance,Real Property Tax Service Agency",C13-00035,Central Name,Central Name 2,Ricoh - Lease Copier Finance (Ricoh MP4002SP),2013-03-01 00:00:00,2018-02-28 00:00:00,11018.4000
"6010-DSS Services DSS,DSS Services",C13-00331,Central Name,Central Name 2,Jewish Child Care - Foster Care Services (WMS),2013-03-01 00:00:00,2016-06-30 00:00:00,550000.0000
"3140-Jail Probation,Corrections",C13-00309,Central Name,Central Name 2,REVENUE: NYS DCJS - Juvenile Justice ATD & Diversion,2013-03-01 00:00:00,2015-12-31 00:00:00,258104.0000
"3140-Jail Probation,Corrections",C13-00365,Central Name,Central Name 2,CANCELLED Juvenile Justice Diversion Services - Family,2013-03-01 00:00:00,2015-12-31 00:00:00,258104.0990
"3140-Jail Probation,Corrections",C13-00365A,Central Name,Central Name 2,Family of Woodstock - Juvenile Justice Diversion Services ,2013-03-01 00:00:00,2015-12-31 00:00:00,258104.1055
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00244,Central Name,Central Name 2,"Maintenance, Repair & Inspection HVAC - UCLEC & UCAT",2013-03-01 00:00:00,2015-02-28 00:00:00,67275.0540
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00188,Central Name,Central Name 2,Alarm - Inspection Emergency Repair & Maintenance - So Manor Ave,2013-03-01 00:00:00,2016-02-28 00:00:00,12750.0451
"1430-Contracts Personnel,Contract Management",C13-00042,Central Name,Central Name 2,Ricoh - Lease Copier Personnel (Ricoh MP4002SP),2013-03-01 00:00:00,2017-03-01 00:00:00,9484.8000
"1165-ARP District Attorney,ARP",C13-00269,Central Name,Central Name 2,Huang - Legal Assistant,2013-03-24 00:00:00,2014-12-31 00:00:00,1000.0040
"6010-DSS Services DSS,DSS Services",C13-00213,Central Name,Central Name 2,Transfers to Fiscal Agent to fund Early Intervention Services,2013-04-01 00:00:00,2018-03-31 00:00:00,0.0000
"6010-DSS Services DSS,DSS Services",C13-00181,Central Name,Central Name 2,NYS Dept of Health - Early Intervention Provider NYSBEI,2013-04-01 00:00:00,2018-03-31 00:00:00,0.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C14-00053,Central Name,Central Name 2,CANCELLED - REVENUE: NYS UCS - Court Facilities Maintenance,2013-04-01 00:00:00,2018-03-31 00:00:00,1439079.0000
"4010-Health Adm Health,Health Administration",C13-00485,Central Name,Central Name 2,REVENUE: NYS DOH - Immunization Action Plan,2013-04-01 00:00:00,2018-03-31 00:00:00,456235.0000
"4010-Env Health Health,Environmental Health Services",C13-00328,Central Name,Central Name 2,REVENUE: NYS DOH - Enforce Clean Indoor Air Act & Oversee ATUPA,2013-04-01 00:00:00,2018-03-31 00:00:00,326810.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-35,Central Name,Central Name 2,Bridge Pre-Cast Concrete Deck Panels,2013-04-01 00:00:00,2014-11-30 00:00:00,0.0136
"1310-RPTSA Finance,Real Property Tax Service Agency",C13-00047,Central Name,Central Name 2,Tyler / New World - Software Logos Financial Management,2013-04-01 00:00:00,2014-12-31 00:00:00,553400.0000
"6010-DSS Services DSS,DSS Services",C13-00353,Central Name,Central Name 2,PINS & JD Case Management - Family,2013-04-01 00:00:00,2014-03-31 00:00:00,57572.0000
"1310-RPTSA Finance,Real Property Tax Service Agency",C13-00186,Central Name,Central Name 2,Schneer - Assigned Counsel Plan Creation & Administration ,2013-04-01 00:00:00,2015-03-31 00:00:00,43500.0015
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00217,Central Name,Central Name 2,HVAC Maintenance for Family Court Bldg - Westrock Mechanical,2013-04-01 00:00:00,2015-03-31 00:00:00,19640.0239
"1490-Buildings & Grds DPW,Buildings & Grounds",C14-00053A,Central Name,Central Name 2,REVENUE: NYS UCS - Court Facilities Maintenance,2013-04-01 00:00:00,2018-03-31 00:00:00,1436724.0000
"6010-DSS Services DSS,DSS Services",C13-00213A,Central Name,Central Name 2,Transfer Funds for Early Intervention Program to NYS DOH,2013-04-01 00:00:00,2023-03-31 00:00:00,0.0001
"3620-STOP DWI Safety,STOP DWI",C13-00196,Central Name,Central Name 2,NYCOMCO - Lease Radio Equipment Safety,2013-04-01 00:00:00,2018-07-31 00:00:00,9360.0000
"6010-DSS Legal DSS,Legal",C13-00197,Central Name,Central Name 2,Family Advocates - Counsel for Special Education,2013-04-02 00:00:00,2015-04-01 00:00:00,6080.0201
"1170-ARP Public Defender,ARP",2013-00000005,Central Name,Central Name 2,Dutchess - Indigent Legal Services,2013-04-02 00:00:00,2017-12-31 00:00:00,0.0000
"1420-Central Svc County Attorney,Central Services",C13-00218,Central Name,Central Name 2,Legal representation for STRIVE project,2013-04-05 00:00:00,2014-04-04 00:00:00,0.0000
"1490-DPW Adm DPW,DPW Administration",C13-00300,Central Name,Central Name 2,Vosburgh - Architect STRIVE Project,2013-04-05 00:00:00,2015-12-31 00:00:00,532687.6581
"1430-Contracts Personnel,Contract Management",C13-00177,Central Name,Central Name 2,Kavanagh (aka E Michael) - Hearing Officer - Section 75,2013-04-15 00:00:00,2015-12-31 00:00:00,36000.1350
"1420-Contracts County Attorney,Contract Management",2013-00000010,Central Name,Central Name 2,REVENUE: NYS DHSES - Flood Buyouts FEMA Benefit to Cost Analysis,2013-04-24 00:00:00,2017-06-30 00:00:00,762329.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-24D,Central Name,Central Name 2,Medical Supplies,2013-05-01 00:00:00,2014-04-30 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-24C,Central Name,Central Name 2, Medical Supplies,2013-05-01 00:00:00,2014-04-30 00:00:00,0.0551
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-24E,Central Name,Central Name 2,Medical Supplies,2013-05-01 00:00:00,2014-04-30 00:00:00,0.0336
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-36,Central Name,Central Name 2,Bridge Pre-Cast Longitudinal Concrete Deck Panels-B,2013-05-01 00:00:00,2014-11-30 00:00:00,91421.0472
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-24A,Central Name,Central Name 2,Medical Supplies,2013-05-01 00:00:00,2014-04-30 00:00:00,0.0252
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-24B,Central Name,Central Name 2,Medical Supplies,2013-05-01 00:00:00,2014-04-30 00:00:00,0.0010
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-31A,Central Name,Central Name 2,Guide Rail & Bridge Steel - New Bridge Steel,2013-05-01 00:00:00,2014-04-30 00:00:00,0.0175
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-32,Central Name,Central Name 2,Highway Rehabilitation - Hot in Place Recyling/Scarifying ,2013-05-01 00:00:00,2015-11-30 00:00:00,1223316.0659
"1490-DPW Adm DPW,DPW Administration",C13-00237,Central Name,Central Name 2,"Ellenville - Installation, Maintenance & Use AVLs ",2013-05-01 00:00:00,2014-04-30 00:00:00,1425.6000
"1490-Buildings & Grds DPW,Buildings & Grounds",C13-00313,Central Name,Central Name 2,Gentech - Generator Repair & Maintenance Multiple Locations ,2013-05-01 00:00:00,2016-04-30 00:00:00,72650.0225
"1680-OBS Information Services,Office of Business Services",C13-00182,Central Name,Central Name 2,VC3 - Software Hosting New World Systems/Logos,2013-05-01 00:00:00,2019-12-31 00:00:00,399166.0000
"8020-DSS Services Planning,DSS Services",2013-00000006,Central Name,Central Name 2,REVENUE: Empire State Development - STRIVE Incentive Grant,2013-05-03 00:00:00,2022-12-31 00:00:00,1500000.0000
"8020-DSS Services Planning,DSS Services",C13-00248,Central Name,Central Name 2,Deegan Sanglyn - Commercial Real Estate Marketing,2013-05-15 00:00:00,2014-10-01 00:00:00,7500.0000
"1165-ARP District Attorney,ARP",C13-00229,Central Name,Central Name 2,Ally - Auto Lease 2013 Chrysler 200 VIN# 7246 (DA),2013-05-17 00:00:00,2016-03-17 00:00:00,8647.2000
"1165-ARP District Attorney,ARP",C13-00230,Central Name,Central Name 2,Ally - Auto Lease 2013 Chrysler 200 VIN# 0310 (DA),2013-05-17 00:00:00,2016-03-17 00:00:00,8647.2000
"5630-ARP UCAT,ARP",C13-00256,Central Name,Central Name 2,REVENUE: Family - Bus Fare for Clients,2013-06-01 00:00:00,2020-05-30 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B13-28,Central Name,Central Name 2,Pestmaster - Removal & Disposal of Deer Carcasses,2013-06-01 00:00:00,2015-07-31 00:00:00,31282.0096
"1420-Central Svc County Attorney,Central Services",C13-00247,Central Name,Central Name 2,Title Service - Title Search & Insurance STRIVE Project,2013-06-01 00:00:00,2014-09-30 00:00:00,10000.0400
